size,w,h,count
1000x1333,1000,1333,1
1000x519,1000,519,1
1000x603,1000,603,1
1000x639,1000,639,1
1000x647,1000,647,1
1000x667,1000,667,3
1000x668,1000,668,1
1000x674,1000,674,1
1000x705,1000,705,1
1000x706,1000,706,1
1000x719,1000,719,1
1000x750,1000,750,2
1000x813,1000,813,1
1000x887,1000,887,1
1001x921,1001,921,1
100x100,100,100,13
100x108,100,108,1
100x126,100,126,1
100x129,100,129,1
100x130,100,130,1
100x143,100,143,1
100x149,100,149,1
100x155,100,155,1
100x162,100,162,1
100x46,100,46,1
100x49,100,49,1
100x65,100,65,1
100x66,100,66,2
100x67,100,67,1
100x75,100,75,8
100x79,100,79,1
100x80,100,80,1
100x84,100,84,1
100x85,100,85,1
1016x690,1016,690,1
101x120,101,120,2
1020x665,1020,665,1
1022x681,1022,681,1
1022x768,1022,768,1
1023x682,1023,682,4
1023x768,1023,768,1
1024x1024,1024,1024,2
1024x1499,1024,1499,1
1024x520,1024,520,1
1024x557,1024,557,1
1024x666,1024,666,1
1024x681,1024,681,1
1024x682,1024,682,1
1024x685,1024,685,2
1024x686,1024,686,1
1024x693,1024,693,1
1024x702,1024,702,1
1024x768,1024,768,45
1024x877,1024,877,1
1028x1028,1028,1028,1
102x108,102,108,1
102x120,102,120,1
102x128,102,128,1
1048x1572,1048,1572,1
104x121,104,121,1
104x135,104,135,1
1050x735,1050,735,1
1055x791,1055,791,1
105x105,105,105,1
105x120,105,120,1
105x149,105,149,1
1061x668,1061,668,1
1068x563,1068,563,1
106x130,106,130,1
106x150,106,150,1
106x160,106,160,2
106x93,106,93,1
1071x1600,1071,1600,1
1075x1505,1075,1505,1
1075x717,1075,717,1
1075x806,1075,806,1
1077x1693,1077,1693,1
107x131,107,131,1
107x143,107,143,1
107x150,107,150,1
107x156,107,156,1
1084x872,1084,872,1
1088x816,1088,816,2
108x145,108,145,1
1100x733,1100,733,1
1108x472,1108,472,1
110x110,110,110,2
110x126,110,126,1
110x76,110,76,1
1113x599,1113,599,1
111x111,111,111,1
111x125,111,125,1
111x168,111,168,1
1122x528,1122,528,1
1125x739,1125,739,1
1129x845,1129,845,1
112x168,112,168,1
112x174,112,174,1
1134x850,1134,850,1
1136x852,1136,852,1
1138x853,1138,853,2
113x78,113,78,1
113x96,113,96,1
114x124,114,124,1
114x168,114,168,1
114x170,114,170,1
114x63,114,63,1
1151x789,1151,789,1
1153x271,1153,271,1
115x69,115,69,1
1162x773,1162,773,1
1166x875,1166,875,1
116x86,116,86,1
116x89,116,89,1
116x93,116,93,1
1172x1172,1172,1172,1
1180x788,1180,788,1
