epoch,train_loss,train_acc,val_loss,val_acc
1,0.2675465815048665,90.875,0.096462775580585,96.5
2,0.07917877894826233,97.875,0.052941294535994526,98.25
3,0.03888105031102896,98.90625,0.053550419681705534,97.875
4,0.021846992545761168,99.71875,0.033428903836756944,98.375
5,0.01796483687066939,99.53125,0.02843394665746018,99.125
6,0.009799171526101418,99.875,0.031989793655229734,98.625
7,0.010663335936551449,99.875,0.028792592813260853,98.75
8,0.007975884164916352,99.9375,0.028070316181983797,98.875
9,0.0038957229476363864,100.0,0.027025403797160834,98.75
10,0.004253020258474862,99.9375,0.02781553808017634,98.625
