epoch,train_loss,train_acc,val_loss,val_acc
1,0.5890129621326924,70.40625,0.41766832053661346,90.375
2,0.3052270940691233,92.78125,0.20615258872509,95.625
3,0.16313688848167657,96.28125,0.11999739415943622,97.0
4,0.10680383537895978,97.40625,0.0858620311319828,97.375
5,0.07858172592706979,97.96875,0.0707222050614655,98.0
6,0.06428216295782477,98.15625,0.057173331873491405,98.625
7,0.05332888550357893,98.65625,0.054521067347377536,98.125
8,0.04829628757201135,98.5,0.0472780893323943,98.625
9,0.039212273723678664,99.15625,0.04296253245789558,98.75
10,0.034297935697250065,99.125,0.06245455263182521,97.875
11,0.03219930856837891,99.125,0.03670281130820513,99.0
12,0.029678180100163445,99.21875,0.0354420929052867,99.125
13,0.023687881479854695,99.5,0.03565185643965378,98.875
14,0.02315722878323868,99.46875,0.033891500727040696,99.25
15,0.020129878729349,99.46875,0.03440631779376417,98.875
16,0.02060703407623805,99.4375,0.031683439203770834,99.125
17,0.016957419416721676,99.59375,0.03249909422476776,99.0
18,0.0157725318762823,99.625,0.03194045943208039,99.0
19,0.01474773270485457,99.6875,0.03599023722345009,98.75
20,0.013129156005888945,99.6875,0.030479678913834504,99.125
