epoch,train_loss,train_acc,val_loss,val_acc
1,0.5136288828402757,74.96875,0.36616352379322054,84.125
2,0.2684774360433221,89.875,0.3104178789258003,86.0
3,0.1290156186465174,95.96875,0.307446306347847,87.375
4,0.07911375251132995,97.5625,0.2853064385056496,87.5
5,0.048948013596236704,98.78125,0.3013621039874852,87.875
6,0.03096549358451739,99.3125,0.2971859129332006,87.875
7,0.022827556639676914,99.6875,0.32055607977323236,88.375
8,0.025434510530903936,99.40625,0.30204920371994376,88.875
9,0.02242331017914694,99.5625,0.3195950357429683,89.125
10,0.020812931723194195,99.5,0.30312333966605365,88.25
