epoch,train_loss,train_acc,val_loss,val_acc
1,0.4299507831782103,80.90625,0.22277865394949914,93.375
2,0.21286127482540906,92.46875,0.16690626181662083,94.25
3,0.17505218185484409,93.78125,0.1387548850849271,94.0
4,0.15828626975882798,94.25,0.12659199956804515,96.0
5,0.14047952483408152,95.03125,0.11528058111667633,96.375
6,0.143903104015626,94.875,0.11225824126973748,96.5
7,0.1393726937077008,95.3125,0.11073926165699959,96.0
8,0.1381375719839707,95.0,0.10882316319504753,96.5
9,0.1327216477226466,94.9375,0.10772639336064457,96.625
10,0.12642074422794394,95.4375,0.11002579288557172,95.75
11,0.1335578771890141,95.09375,0.10582344089169055,96.5
12,0.12294492840068415,95.3125,0.10020062305964529,96.625
13,0.11223335155518725,95.84375,0.12206807932350784,95.625
14,0.11926756814820692,95.75,0.11047724509844556,96.125
15,0.1202420395053923,95.84375,0.10691071491222828,96.125
16,0.11706082645221613,95.84375,0.10959132239688188,96.375
17,0.1118546334700659,95.875,0.10342906615231186,96.75
18,0.11288059959071689,95.65625,0.09938876371830702,96.5
19,0.11900965471751988,95.9375,0.10189740181667731,96.375
20,0.11006164421327412,96.125,0.10596741800429299,95.875
