epoch,train_loss,train_acc,val_loss,val_acc
1,0.6428564651310444,63.87500000000001,0.5461759811639786,75.5
2,0.49533613175153735,78.96875,0.4264778470993042,82.375
3,0.39124635599553587,84.65625,0.3538865578174591,85.0
4,0.3303639181703329,87.28125,0.30618388444185257,86.75
5,0.28276644606143236,89.21875,0.2765931159257889,88.0
6,0.2572646065428853,90.4375,0.255243613421917,90.75
7,0.22222468312829732,91.875,0.23937469244003295,90.125
8,0.20793465029448271,92.71875,0.22609539911150933,92.125
9,0.19258799793198705,93.09375,0.21116816751658918,92.375
10,0.17851335644721986,93.625,0.20835755906999112,92.5
11,0.16942025745287537,93.875,0.1969302896410227,92.0
12,0.15163022893480957,94.71875,0.19249118167907,92.25
13,0.14395315672270953,94.75,0.18690778445452452,92.25
14,0.13875182585790755,95.09375,0.1865118209645152,92.625
15,0.129870552518405,95.4375,0.18416953906416894,92.625
16,0.12203421806916595,96.03125,0.1787245687097311,92.875
17,0.1172963060066104,96.0625,0.178351018615067,93.375
18,0.1063598112296313,96.75,0.17820953220129013,93.625
19,0.10255274277180433,96.71875,0.17883834524080158,93.375
20,0.09265438248403371,97.25,0.1722670882754028,93.0
